day,hour,referrer,isMainConversion,isMicroConversion,spentTime,pageNum,score,visitId
Tuesday,odpoledne,Catalogue,true,false,dlouhaDoba,hodne,2499,9438
Tuesday,poledne,NA,false,false,stredniDoba,vice,414,9207
Tuesday,poledne,NA,false,false,delsiDoba,vice,1179,9328
Tuesday,odpoledne,NA,false,false,kratkaDoba,malo,193,9449
Saturday,odpoledne,NA,false,false,delsiDoba,malo,410,8239
Tuesday,poledne,NA,false,false,delsiDoba,malo,528,9339
Friday,vecer,NA,false,false,kratkaDoba,malo,193,8129
Thursday,odpoledne,Fulltext,false,false,stredniDoba,vice,294,2970
Tuesday,odpoledne,Other,false,false,kratkaDoba,malo,193,1881
Tuesday,rano,OwnWebs,false,false,stredniDoba,malo,295,1650
Tuesday,poledne,NA,false,false,dlouhaDoba,malo,953,1782
Sunday,podvecer,Other,false,false,stredniDoba,vice,444,3971
Thursday,poledne,NA,false,false,delsiDoba,vice,1034,2761
Saturday,podvecer,Fulltext,false,false,kratkaDoba,malo,172,3740
Sunday,poledne,NA,false,false,delsiDoba,vice,908,3861
Thursday,odpoledne,Fulltext,false,false,delsiDoba,malo,410,2893
Monday,poledne,Fulltext,false,false,kratkaDoba,malo,110,1332
Sunday,podvecer,Fulltext,false,false,stredniDoba,vice,426,3994
Tuesday,poledne,NA,false,false,kratkaDoba,vice,354,1695
Friday,poledne,Fulltext,false,false,kratkaDoba,malo,110,5930
Saturday,odpoledne,NA,false,false,delsiDoba,malo,445,3642
Tuesday,podvecer,NA,false,false,stredniDoba,vice,327,4973
Wednesday,odpoledne,Fulltext,false,false,stredniDoba,vice,617,2432
Saturday,podvecer,Catalogue,false,false,stredniDoba,vice,713,3763
Sunday,odpoledne,NA,false,false,kratkaDoba,malo,110,3884
Monday,poledne,NA,false,false,kratkaDoba,malo,110,1343
Monday,vecer,OwnWebs,false,false,dlouhaDoba,vice,1390,1585
Friday,rano,Fulltext,false,false,dlouhaDoba,vice,1644,5820
Friday,podvecer,NA,false,false,delsiDoba,vice,705,3521
Tuesday,odpoledne,Fulltext,false,false,kratkaDoba,malo,110,4852
Tuesday,podvecer,Fulltext,false,false,stredniDoba,malo,170,4984
Wednesday,odpoledne,Fulltext,false,false,stredniDoba,vice,528,2443
Monday,poledne,NA,false,false,kratkaDoba,vice,354,1233
Sunday,odpoledne,Fulltext,false,false,kratkaDoba,vice,354,3895
Thursday,rano,Fulltext,false,false,kratkaDoba,malo,110,2685
Monday,vecer,NA,false,false,kratkaDoba,malo,172,1596
